kibana  | [2026-01-09T18:12:56.237+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task] Got ingest stats, about to publish EBT events
kibana  | [2026-01-09T18:12:56.239+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Ingest stats task completed
kibana  | [2026-01-09T18:12:56.259+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent data streams
kibana  | [2026-01-09T18:12:56.260+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent indices settings
kibana  | [2026-01-09T18:12:56.286+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent indices stats
kibana  | [2026-01-09T18:12:56.302+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent ILM stats
kibana  | [2026-01-09T18:12:56.319+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent ILM policies
kibana  | [2026-01-09T18:12:56.320+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent index templates
kibana  | [2026-01-09T18:12:56.321+00:00][INFO ][plugins.securitySolution.telemetry_events.sender.task.indices-metadata] Sent EBT events
kibana  | [2026-01-09T18:12:56.936+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:12:56.937+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:12:56.963+00:00][INFO ][plugins.fleet] Fleet Usage: {"agents_enabled":true,"agents":{"total_enrolled":0,"healthy":0,"unhealthy":0,"offline":0,"inactive":0,"unenrolled":0,"total_all_statuses":0,"updating":0},"fleet_server":{"total_all_statuses":0,"total_enrolled":0,"healthy":0,"unhealthy":0,"offline":0,"updating":0,"inactive":0,"unenrolled":0,"num_host_urls":0},"license_issued_to":"docker-cluster"}
kibana  | [2026-01-09T18:12:58.320+00:00][WARN ][plugins.fleet] Fleet setup attempt 1 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:12:58.938+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:12:58.939+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:12:59.361+00:00][WARN ][plugins.fleet] Fleet setup attempt 2 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
